sno	Collected_miRNA_name	Accession	Symbol	Description	Mature_Sequence	Gene_Family	Organism_Mapped	Biomarker_Type	PMID	Organism_Tested	Organism_Strain	Gender	Age_In_Years	Tested_Cell_Type	Exposed_Area	Exposed_Area_Type	Radiation_Type	Dosage_Rate	Dose	Study_Type	Control	Sampling_Time_In_hrs	Type_Of_OMICS_Data	Testing_Method	Regulation	Tested_Cell_Or_Tissue_OLS	Identifier_OLS	Identifier_Type_OLS	Empty_col
1	miR-3940-3p	MI0016597	HGNC:MIR3940	miR-3940 stem-loop	MIMAT0018356	MIPF0001599; mir-3940	Human	miRNA	28822308	Homo sapiens	Healthy with sun-sensitive skin type II	Male		Blood	Blood	Tissue	UVB-radiation			In vivo	No irradiation	6	Genomics	Small RNA sequencing	Down	blood	UBERON_0000178	Uberon Ontology	
2	mmu-miR-125a-5p	MI0000151	MGI:Mir125a	miR-125a stem-loop	MIMAT0000135	MIPF0000033; mir-10	Mouse	miRNA	22740952	Mus musculus	C57BL/6	Female	0.23	Epidermis	Dorsal skin	Tissue	UVB-radiation		1800	In vivo	No irradiation	24	Genomics	Microarray	Down	skin epidermis	UBERON_0001003	Uberon Ontology	
3	mmu-miR-141	MI0000166	MGI:Mir141	miR-141 stem-loop		MIPF0000019; mir-8	Mouse	miRNA	22740952	Mus musculus	C57BL/6	Female	0.23	Epidermis	Dorsal skin	Tissue	UVB-radiation		1800	In vivo	No irradiation	24	Genomics	Microarray	Down	skin epidermis	UBERON_0001003	Uberon Ontology	
4	mmu-miR-146a	MI0000170	MGI:Mir146	miR-146a stem-loop		MIPF0000103; mir-146	Mouse	miRNA	22740952	Mus musculus	C57BL/6	Female	0.23	Epidermis	Dorsal skin	Tissue	UVB-radiation		1800	In vivo	No irradiation	24	Genomics	Microarray	Down	skin epidermis	UBERON_0001003	Uberon Ontology	
5	mmu-miR-188-5p	MI0000230	MGI:Mir188	miR-188 stem-loop	MIMAT0000217	MIPF0000113; mir-188	Mouse	miRNA	22740952	Mus musculus	C57BL/6	Female	0.23	Epidermis	Dorsal skin	Tissue	UVB-radiation		1800	In vivo	No irradiation	24	Genomics	Microarray	Up	skin epidermis	UBERON_0001003	Uberon Ontology	
6	mmu-miR-22	MI0000570	MGI:Mir22	miR-22 stem-loop		MIPF0000053; mir-22	Mouse	miRNA	22740952	Mus musculus	C57BL/6	Female	0.23	Epidermis	Dorsal skin	Tissue	UVB-radiation		1800	In vivo	No irradiation	24	Genomics	Microarray	Up	skin epidermis	UBERON_0001003	Uberon Ontology	
7	mmu-miR-223	MI0000703	MGI:Mir223	miR-223 stem-loop		MIPF0000067; mir-223	Mouse	miRNA	22740952	Mus musculus	C57BL/6	Female	0.23	Epidermis	Dorsal skin	Tissue	UVB-radiation		1800	In vivo	No irradiation	24	Genomics	Microarray	Up	skin epidermis	UBERON_0001003	Uberon Ontology	
8	hsa-miR-193a-3p	MI0000487	HGNC:MIR193A	miR-193a stem-loop	MIMAT0000459	MIPF0000082; mir-193	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
9	hsa-miR-3665	MI0016066	HGNC:MIR3665	miR-3665 stem-loop	MIMAT0018087		Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
10	hsa-miR-1973	MI0009983	HGNC:MIR1973	miR-1973 stem-loop	MIMAT0009448		Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
11	hsa-miR-3663-3p	MI0016064	HGNC:MIR3663	miR-3663 stem-loop	MIMAT0018085		Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
12	hsa-miR-423-5p	MI0001445	HGNC:MIR423	miR-423 stem-loop	MIMAT0004748	MIPF0000329; mir-423	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
13	hsa-miR-4281	MI0015885	HGNC:MIR4281	miR-4281 stem-loop			Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
14	hsa-miR-26a-5p	MI0000083	HGNC:MIR26A1	miR-26a-1 stem-loop	MIMAT0000082	MIPF0000043; mir-26	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
15	hsa-miR-1915-3p	MI0008336	HGNC:MIR1915	miR-1915 stem-loop	MIMAT0007892	MIPF0001037; mir-1915	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
16	hsa-miR-1225-5p	MI0006311	HGNC:MIR1225	miR-1225 stem-loop	MIMAT0005572	MIPF0000445; mir-1225	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
17	hsa-miR-3651	MI0016051	HGNC:MIR3651	miR-3651 stem-loop	MIMAT0018071		Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
18	hsa-miR-27a-3p	MI0000085	HGNC:MIR27A	miR-27a stem-loop	MIMAT0000084	MIPF0000036; mir-27	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
19	hsa-miR-30d-5p	MI0000255	HGNC:MIR30D	miR-30d stem-loop	MIMAT0000245	MIPF0000005; mir-30	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
20	hsa-miR-222-3p	MI0000299	HGNC:MIR222	miR-222 stem-loop	MIMAT0000279	MIPF0000051; mir-221	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
21	hsa-miR-1246	MI0006381	HGNC:MIR1246	miR-1246 stem-loop	MIMAT0005898	MIPF0000627; mir-1246	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
22	hsa-miR-2861	MI0013006	HGNC:MIR2861	miR-2861 stem-loop		MIPF0000963; mir-2861	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
23	hsa-miR-92a-3p	MI0000093	HGNC:MIR92A1	miR-92a-1 stem-loop	MIMAT0000092	MIPF0000013; mir-25	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
24	hsa-miR-181a-5p	MI0000269	HGNC:MIR181A2	miR-181a-2 stem-loop	MIMAT0000256	MIPF0000007; mir-181	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
25	hsa-miR-1207-5p	MI0006340	HGNC:MIR1207	miR-1207 stem-loop	MIMAT0005871	MIPF0000596; mir-1207	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
26	hsa-miR-361-5p	MI0000760	HGNC:MIR361	miR-361 stem-loop	MIMAT0000703	MIPF0000172; mir-361	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
27	hsa-miR-379-5p	MI0000787	HGNC:MIR379	miR-379 stem-loop	MIMAT0000733	MIPF0000126; mir-379	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
28	hsa-miR-138-5p	MI0000455	HGNC:MIR138-2	miR-138-2 stem-loop	MIMAT0000430	MIPF0000075; mir-138	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
29	hsa-miR-3162-5p	MI0014192	HGNC:MIR3162	miR-3162 stem-loop	MIMAT0015036		Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
30	hsa-miR-3195	MI0014240	HGNC:MIR3195	miR-3195 stem-loop	MIMAT0015079		Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
31	hsa-miR-1275	MI0006415	HGNC:MIR1275	miR-1275 stem-loop	MIMAT0005929	MIPF0000674; mir-1275	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
32	hsa-miR-630	MI0003644	HGNC:MIR630	miR-630 stem-loop		MIPF0000653; mir-630	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
33	hsa-miR-638	MI0003653	HGNC:MIR638	miR-638 stem-loop		MIPF0000486; mir-638	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
34	hsa-miR-762	MI0003892	HGNC:MIR762	miR-762 stem-loop		MIPF0000624; mir-762	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
35	hsa-miR-99b-5p	MI0000746	HGNC:MIR99B	miR-99b stem-loop		MIPF0000033; mir-10	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
36	hsa-miR-381-3p	MI0000789	HGNC:MIR381	miR-381 stem-loop	MIMAT0000736	MIPF0000018; mir-154	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
37	hsa-miR-337-5p	MI0000806	HGNC:MIR337	miR-337 stem-loop	MIMAT0004695	MIPF0000195; mir-337	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
38	hsa-miR-30a-5p	MI0000088	HGNC:MIR30A	miR-30a stem-loop	MIMAT0000087	MIPF0000005; mir-30	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
39	hsa-miR-29b-3p	MI0000105	HGNC:MIR29B1	miR-29b-1 stem-loop	MIMAT0000100	MIPF0000009; mir-29	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
40	hsa-miR-150-3p	MI0000479	HGNC:MIR150	miR-150 stem-loop	MIMAT0004610	MIPF0000197; mir-150	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
41	hsa-miR-34a-5p	MI0000268	HGNC:MIR34A	miR-34a stem-loop	MIMAT0000255	MIPF0000039; mir-34	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
42	hsa-miR-34b-5p	MI0000742	HGNC:MIR34B	miR-34b stem-loop	MIMAT0000685	MIPF0000039; mir-34	Human	miRNA	25069581	Homo sapiens				Human dermal papilla cells	Human dermal papilla cells	Cell	UVB-radiation		500	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	hair follicle dermal papilla cell	CL_0000346	Cell Ontology	
43	hsa-let-7b	MI0000063	HGNC:MIRLET7B	let-7b stem-loop		MIPF0000002; let-7	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
44	hsa-let-7b	MI0000063	HGNC:MIRLET7B	let-7b stem-loop		MIPF0000002; let-7	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	24	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
45	hsa-let-7b	MI0000063	HGNC:MIRLET7B	let-7b stem-loop		MIPF0000002; let-7	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	4	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
46	hsa-let-7b	MI0000063	HGNC:MIRLET7B	let-7b stem-loop		MIPF0000002; let-7	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	4	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
47	hsa-let-7c	MI0000064	HGNC:MIRLET7C	let-7c stem-loop		MIPF0000002; let-7	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	24	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
48	hsa-let-7c	MI0000064	HGNC:MIRLET7C	let-7c stem-loop		MIPF0000002; let-7	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	4	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
49	hsa-let-7g	MI0000433	HGNC:MIRLET7G	let-7g stem-loop		MIPF0000002; let-7	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
50	hsa-let-7g	MI0000433	HGNC:MIRLET7G	let-7g stem-loop		MIPF0000002; let-7	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	24	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
