sno	Collected_miRNA_name	Accession	Symbol	Description	Mature_Sequence	Gene_Family	Organism_Mapped	Biomarker_Type	PMID	Organism_Tested	Organism_Strain	Gender	Age_In_Years	Tested_Cell_Type	Exposed_Area	Exposed_Area_Type	Radiation_Type	Dosage_Rate	Dose	Study_Type	Control	Sampling_Time_In_hrs	Type_Of_OMICS_Data	Testing_Method	Regulation	Tested_Cell_Or_Tissue_OLS	Identifier_OLS	Identifier_Type_OLS	Empty_col
106	hsa-miR-221	MI0000298	HGNC:MIR221	miR-221 stem-loop		MIPF0000051; mir-221	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	24	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
107	hsa-miR-221	MI0000298	HGNC:MIR221	miR-221 stem-loop		MIPF0000051; mir-221	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	4	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
108	hsa-miR-93	MI0000095	HGNC:MIR93	miR-93 stem-loop		MIPF0000001; mir-17	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	24	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
109	hsa-miR-23a	MI0000079	HGNC:MIR23A	miR-23a stem-loop		MIPF0000027; mir-23	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
110	hsa-miR-23a	MI0000079	HGNC:MIR23A	miR-23a stem-loop		MIPF0000027; mir-23	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	24	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
111	hsa-miR-23a	MI0000079	HGNC:MIR23A	miR-23a stem-loop		MIPF0000027; mir-23	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	4	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
112	hsa-miR-34a	MI0000268	HGNC:MIR34A	miR-34a stem-loop		MIPF0000039; mir-34	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	24	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
113	hsa-miR-34a	MI0000268	HGNC:MIR34A	miR-34a stem-loop		MIPF0000039; mir-34	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	4	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
114	hsa-miR-34a	MI0000268	HGNC:MIR34A	miR-34a stem-loop		MIPF0000039; mir-34	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	4	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
115	hsa-miR-98	MI0000100	HGNC:MIR98	miR-98 stem-loop		MIPF0000002; let-7	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	4	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
116	hsa-miR-23b	MI0000439	HGNC:MIR23B	miR-23b stem-loop		MIPF0000027; mir-23	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	4	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
117	hsa-miR-23b	MI0000439	HGNC:MIR23B	miR-23b stem-loop		MIPF0000027; mir-23	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	4	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
118	hsa-miR-26a-2	MI0000750	HGNC:MIR26A2	miR-26a-2 stem-loop		MIPF0000043; mir-26	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	24	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
119	hsa-miR-26a-2	MI0000750	HGNC:MIR26A2	miR-26a-2 stem-loop		MIPF0000043; mir-26	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	4	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
120	hsa-miR-493	MI0003132	HGNC:MIR493	miR-493 stem-loop		MIPF0000230; mir-493	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	24	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
121	hsa-miR-27a	MI0000085	HGNC:MIR27A	miR-27a stem-loop		MIPF0000036; mir-27	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	24	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
122	hsa-miR-27a	MI0000085	HGNC:MIR27A	miR-27a stem-loop		MIPF0000036; mir-27	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	4	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
123	hsa-miR-27a	MI0000085	HGNC:MIR27A	miR-27a stem-loop		MIPF0000036; mir-27	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	4	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
124	hsa-miR-30a	MI0000088	HGNC:MIR30A	miR-30a stem-loop		MIPF0000005; mir-30	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	4	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
125	hsa-miR-27b	MI0000440	HGNC:MIR27B	miR-27b stem-loop		MIPF0000036; mir-27	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
126	hsa-miR-27b	MI0000440	HGNC:MIR27B	miR-27b stem-loop		MIPF0000036; mir-27	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	4	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
127	hsa-miR-423-5p	MI0001445	HGNC:MIR423	miR-423 stem-loop	MIMAT0004748	MIPF0000329; mir-423	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	4	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
128	hsa-miR-31	MI0000089	HGNC:MIR31	miR-31 stem-loop		MIPF0000064; mir-31	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
129	hsa-miR-487b	MI0003530	HGNC:MIR487B	miR-487b stem-loop		MIPF0000018; mir-154	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	24	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
130	hsa-miR-487b	MI0003530	HGNC:MIR487B	miR-487b stem-loop		MIPF0000018; mir-154	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	24	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
131	hsa-miR-489	MI0003124	HGNC:MIR489	miR-489 stem-loop		MIPF0000111; mir-489	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
132	hsa-miR-30a	MI0000088	HGNC:MIR30A	miR-30a stem-loop		MIPF0000005; mir-30	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
133	hsa-miR-96	MI0000098	HGNC:MIR96	miR-96 stem-loop		MIPF0000072; mir-96	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	24	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
134	hsa-miR-542-5p	MI0003686	HGNC:MIR542	miR-542 stem-loop	MIMAT0003340	MIPF0000185; mir-542	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	4	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
135	hsa-miR-543	MI0005565	HGNC:MIR543	miR-543 stem-loop		MIPF0000110; mir-329	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	24	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
136	hsa-miR-543	MI0005565	HGNC:MIR543	miR-543 stem-loop		MIPF0000110; mir-329	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	24	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
137	hsa-miR-98	MI0000100	HGNC:MIR98	miR-98 stem-loop		MIPF0000002; let-7	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	24	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
138	hsa-miR-31	MI0000089	HGNC:MIR31	miR-31 stem-loop		MIPF0000064; mir-31	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	24	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
139	hsa-miR-31	MI0000089	HGNC:MIR31	miR-31 stem-loop		MIPF0000064; mir-31	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	4	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
140	hsa-miR-31	MI0000089	HGNC:MIR31	miR-31 stem-loop		MIPF0000064; mir-31	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	4	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
141	hsa-miR-93	MI0000095	HGNC:MIR93	miR-93 stem-loop		MIPF0000001; mir-17	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
142	hsa-miR-34a	MI0000268	HGNC:MIR34A	miR-34a stem-loop		MIPF0000039; mir-34	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
143	hsa-miR-326	MI0000808	HGNC:MIR326	miR-326 stem-loop	MIMAT0000756	MIPF0000143; mir-326	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
144	hsa-miR-326	MI0000808	HGNC:MIR326	miR-326 stem-loop	MIMAT0000756	MIPF0000143; mir-326	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	4	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
145	hsa-miR-493*	MI0003132	HGNC:MIR493	miR-493 stem-loop		MIPF0000230; mir-493	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	4	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
146	hsa-miR-96	MI0000098	HGNC:MIR96	miR-96 stem-loop		MIPF0000072; mir-96	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	4	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
147	hsa-miR-98	MI0000100	HGNC:MIR98	miR-98 stem-loop		MIPF0000002; let-7	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
148	hsa-miR-96	MI0000098	HGNC:MIR96	miR-96 stem-loop		MIPF0000072; mir-96	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
149	hsa-miR-98	MI0000100	HGNC:MIR98	miR-98 stem-loop		MIPF0000002; let-7	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	4	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
150	hsa-miR-542-5p	MI0003686	HGNC:MIR542	miR-542 stem-loop	MIMAT0003340	MIPF0000185; mir-542	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
151	hsa-miR-376b	MI0002466	HGNC:MIR376B	miR-376b stem-loop		MIPF0000091; mir-368	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	4	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
152	hsa-miR-376b	MI0002466	HGNC:MIR376B	miR-376b stem-loop		MIPF0000091; mir-368	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	4	Genomics	miRNA microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
153	hsa-miR-93	MI0000095	HGNC:MIR93	miR-93 stem-loop		MIPF0000001; mir-17	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	4	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
154	hsa-miR-423-5p	MI0001445	HGNC:MIR423	miR-423 stem-loop	MIMAT0004748	MIPF0000329; mir-423	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
155	hsa-miR-423-5p	MI0001445	HGNC:MIR423	miR-423 stem-loop	MIMAT0004748	MIPF0000329; mir-423	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		600	In vitro	No irradiation	24	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
156	hsa-miR-96	MI0000098	HGNC:MIR96	miR-96 stem-loop		MIPF0000072; mir-96	Human	miRNA	22417313	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	4	Genomics	miRNA microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
157	miR-146a	MI0000477	HGNC:MIR146A	miR-146a stem-loop		MIPF0000103; mir-146	Human	miRNA	23832538	Homo sapiens				Skin	Skin	Tissue	UVA-radiation		100000	Ex vivo	No irradiation	168	Genomics	Microarray	Down	skin of body	UBERON_0002097	Uberon Ontology	
158	miR-148a	MI0000253	HGNC:MIR148A	miR-148a stem-loop		MIPF0000056; mir-148	Human	miRNA	23832538	Homo sapiens				Skin	Skin	Tissue	UVA-radiation		100000	Ex vivo	No irradiation	168	Genomics	Microarray	Up	skin of body	UBERON_0002097	Uberon Ontology	
159	miR-181c	MI0000271	HGNC:MIR181C	miR-181c stem-loop		MIPF0000007; mir-181	Human	miRNA	23832538	Homo sapiens				Skin	Skin	Tissue	UVA-radiation		100000	Ex vivo	No irradiation	168	Genomics	Microarray	Down	skin of body	UBERON_0002097	Uberon Ontology	
160	miR-1246	MI0006381	HGNC:MIR1246	miR-1246 stem-loop		MIPF0000627; mir-1246	Human	miRNA	23832538	Homo sapiens				Skin	Skin	Tissue	UVA-radiation		100000	Ex vivo	No irradiation	168	Genomics	Microarray	Down	skin of body	UBERON_0002097	Uberon Ontology	
161	miR-30b	MI0000441	HGNC:MIR30B	miR-30b stem-loop		MIPF0000005; mir-30	Human	miRNA	23832538	Homo sapiens				Skin	Skin	Tissue	UVA-radiation		100000	Ex vivo	No irradiation	168	Genomics	Microarray	Up	skin of body	UBERON_0002097	Uberon Ontology	
162	miR-4281	MI0015885	HGNC:MIR4281	miR-4281 stem-loop			Human	miRNA	23832538	Homo sapiens				Skin	Skin	Tissue	UVA-radiation		100000	Ex vivo	No irradiation	168	Genomics	Microarray	Down	skin of body	UBERON_0002097	Uberon Ontology	
